2 6 8.01 10 11 12 17 20 21.01 27.01 28.01 33.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 24.18583 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 6 8.01 10 11 12 17 20 21.01 23 27.01 28.01 33.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 22.6312 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 6 8.01 10 11 12 17 20 21.01 23 27.01 28.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 21.17617 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 6 8.01 10 11 12 17 20 21.01 23 27.01 28.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 20.24445 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 6 8.01 10 11 12 17 20 21.01 22.01 23 27.01 28.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 19.22857 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 6 8.01 10 11 12 17 20 21.01 22.01 23 27.01 28.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 18.1333 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 6 8.01 9 10 11 12 17 20 21.01 22.01 23 27.01 28.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 17.19738 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 3 6 8.01 9 10 11 12 17 20 21.01 22.01 23 27.01 28.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 15.73141 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 3 6 8.01 9 10 11 12 17 20 21.01 22.01 23 27.01 28.01 30.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 14.81914 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 3 6 8.01 9 10 11 12 17 19 20 21.01 22.01 23 27.01 28.01 30.01 31.01 33.01 34.01 36.01 38.06 40.01 42 43.02 46.01 48 50.01 51 52.01 13.79036 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 3 6 8.01 9 10 11 12 17 19 20 21.01 22.01 23 27.01 28.01 30.01 31.01 33.01 34.01 36.01 38.06 39.01 40.01 42 43.02 46.01 48 50.01 51 52.01 13.04936 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 3 5 6 8.01 9 10 11 12 17 19 20 21.01 22.01 23 27.01 28.01 30.01 31.01 33.01 34.01 36.01 38.06 39.01 40.01 42 43.02 46.01 48 50.01 51 52.01 12.22917 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 3 5 6 8.01 9 10 11 12 15 17 19 20 21.01 22.01 23 27.01 28.01 30.01 31.01 33.01 34.01 36.01 38.06 39.01 40.01 42 43.02 46.01 48 50.01 51 52.01 11.48361 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
